Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
02-01-2017 00:00,14.5,91,12.4,6.37,9.58,68,72,9.9,0.2574
02-01-2017 01:00,14.5,92,12.7,6.46,9.23,68,72,9.5,0.2535
02-01-2017 02:00,14.7,92,12.7,6.18,9.27,67,74,9.4,0.2497
02-01-2017 03:00,14.7,92,12.8,5.91,9.08,62,69,9.1,0.2458
02-01-2017 04:00,14.8,92,12.9,5.88,8.72,58,65,8.7,0.2419
02-01-2017 05:00,14.7,92,12.9,6.12,8.83,52,59,8.8,0.2354
02-01-2017 06:00,14.4,92,12.5,6.37,8.98,48,52,9.1,0.2261
02-01-2017 07:00,14.2,92,12.3,6.33,9.24,51,56,9.3,0.2168
02-01-2017 08:00,14.1,92,12.2,5.97,9.1,50,57,9.2,0.2075
02-01-2017 09:00,14.2,92,12.2,5.74,8.77,49,55,8.8,0.1982
02-01-2017 10:00,14.5,91,12.3,5.87,8.17,46,50,8.6,0.1889
02-01-2017 11:00,14.8,91,12.6,5.46,7.28,49,53,8.6,0.1796
02-01-2017 12:00,15.4,91,13.1,5.03,6.72,41,46,8.2,0.17
02-01-2017 13:00,15.5,91,13.3,5.28,6.96,29,35,7.6,0.16
02-01-2017 14:00,16,90,13.6,4.46,5.73,20,25,8,0.15
02-01-2017 15:00,15.4,91,13.2,6.13,8.32,24,27,8.7,0.14
02-01-2017 16:00,14.8,91,12.6,6.24,8.32,16,18,9.6,0.13
02-01-2017 17:00,13.8,90,11.4,6.79,9,9,12,9.8,0.12
02-01-2017 18:00,12.9,88,10,6.41,8.4,357,359,9.9,0.1295
02-01-2017 19:00,11.9,87,8.9,6.58,8.75,351,354,9.6,0.1586
02-01-2017 20:00,11.2,86,7.9,6.55,8.63,348,350,9.5,0.1877
02-01-2017 21:00,10,84,6.2,7.2,9.86,335,337,10.4,0.2168
02-01-2017 22:00,8.7,83,4.6,7.94,10.61,329,331,11.2,0.2459
02-01-2017 23:00,6.2,83,2.1,8.94,12.58,328,331,12.8,0.275
03-01-2017 00:00,3.8,82,-0.5,9.3,13.21,328,331,13.3,0.3041
03-01-2017 01:00,2.1,80,-2.6,10.03,14.27,330,332,14.5,0.3332
03-01-2017 02:00,0.8,79,-4.2,9.81,14.05,330,332,14.6,0.3623
03-01-2017 03:00,0.2,79,-4.8,10.11,14.31,333,334,14.6,0.3914
03-01-2017 04:00,0.1,79,-4.9,9.26,13.42,334,335,14.6,0.4205
03-01-2017 05:00,0.1,79,-4.9,8.88,12.74,326,329,13.4,0.4486
03-01-2017 06:00,-1,79,-5.9,11.14,15.76,323,324,14.4,0.4757
03-01-2017 07:00,-2.8,79,-7.6,10.91,15.85,319,321,16.1,0.5029
03-01-2017 08:00,-3.6,79,-8.6,11.03,16.12,314,316,15.9,0.53
03-01-2017 09:00,-3.6,78,-8.9,11.5,16.58,310,312,16.6,0.5571
03-01-2017 10:00,-3.5,77,-8.9,11.27,16.07,311,312,16.7,0.5843
03-01-2017 11:00,-3.8,77,-9.2,10.99,15.29,311,312,16.4,0.6114
03-01-2017 12:00,-4.4,76,-10,10.18,15.25,308,310,15.9,0.6154
03-01-2017 13:00,-4.9,76,-10.6,10.18,14.69,308,310,14.9,0.5962
03-01-2017 14:00,-5,75,-10.8,9.7,14.12,307,310,14.8,0.5771
03-01-2017 15:00,-5.3,75,-11,9.36,13.65,307,309,14.6,0.5579
03-01-2017 16:00,-6.2,76,-11.8,9.38,13.81,306,309,13.7,0.5388
03-01-2017 17:00,-7.5,76,-13.1,9.04,13.74,303,306,13.6,0.5196
03-01-2017 18:00,-8,76,-13.5,8.96,13.81,309,312,13.6,0.51
03-01-2017 19:00,-8.9,76,-14.3,9.27,14.17,305,308,13.3,0.51
03-01-2017 20:00,-9.5,76,-15,9.38,14.4,301,306,13.5,0.51
03-01-2017 21:00,-10,75,-15.7,9.28,14.31,300,304,13.5,0.51
03-01-2017 22:00,-10.7,74,-16.6,9.52,14.65,302,305,13.7,0.51
03-01-2017 23:00,-11.3,73,-17.4,9.13,14.24,302,306,13.7,0.51
04-01-2017 00:00,-11.8,73,-18.1,8.82,13.76,299,304,13.2,0.51
04-01-2017 01:00,-12.4,73,-18.5,8.59,13.55,296,301,12.6,0.51
04-01-2017 02:00,-12.7,74,-18.7,8.54,13.52,297,302,12.4,0.51
04-01-2017 03:00,-12.8,74,-18.8,8.37,13.34,299,304,12.3,0.51
04-01-2017 04:00,-12.7,74,-18.6,8.06,12.98,300,305,12.1,0.51
04-01-2017 05:00,-12.6,75,-18.4,7.89,12.86,300,307,11.6,0.4862
04-01-2017 06:00,-13.2,76,-18.7,7.02,11.7,303,310,11.2,0.4388
04-01-2017 07:00,-13.6,76,-19,6.75,11.29,295,305,10,0.3913
04-01-2017 08:00,-14,76,-19.5,6.71,11.14,287,296,9.7,0.3438
04-01-2017 09:00,-13.9,75,-19.5,6.77,11.14,286,295,9.6,0.2962
04-01-2017 10:00,-12.6,74,-18.5,6.84,11.11,282,291,9.9,0.2488
04-01-2017 11:00,-11.6,74,-17.6,7.32,11.43,275,282,10.6,0.2013
04-01-2017 12:00,-10.7,74,-16.8,7.1,11.23,269,274,10.6,0.1952
04-01-2017 13:00,-9.3,73,-15.5,6.81,10.98,273,277,10.3,0.2306
04-01-2017 14:00,-8.8,73,-15.1,6.79,10.89,279,283,9.9,0.266
04-01-2017 15:00,-8.7,73,-14.9,7.07,10.79,278,283,10.2,0.3015
04-01-2017 16:00,-9.7,75,-15.5,6.59,10.36,280,285,10.2,0.3369
04-01-2017 17:00,-11.3,76,-16.8,6.45,10.4,283,288,9.4,0.3723
04-01-2017 18:00,-11,77,-16.2,6.71,10.73,290,297,9.7,0.3919
