Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
02-01-2017 00:00,29.7,55,15.4,4.96,8.46,124,129,8.8,0.3438
02-01-2017 01:00,29.6,56,15.6,4.97,8.43,120,124,8.5,0.3954
02-01-2017 02:00,29.8,56,16.1,5.69,9.18,121,123,9.7,0.4471
02-01-2017 03:00,29.8,58,16.8,5.49,8.88,123,126,9.9,0.4988
02-01-2017 04:00,30.2,59,17.8,5.19,8.36,124,127,9.4,0.5504
02-01-2017 05:00,30.1,68,20.9,4.75,7.55,120,125,8.9,0.5731
02-01-2017 06:00,30.8,72,22.8,4.59,7.78,110,116,8.1,0.5668
02-01-2017 07:00,31.3,74,23.8,4.37,7.11,110,116,7.7,0.5605
02-01-2017 08:00,31.3,79,25.6,3.86,6.35,111,116,7.5,0.5542
02-01-2017 09:00,31.2,87,27.9,3.61,6.11,104,111,6.4,0.5479
02-01-2017 10:00,31.5,91,29.1,3.7,6.17,109,115,6.7,0.5415
02-01-2017 11:00,32.7,86,29.1,3.68,5.46,112,116,6.3,0.5352
02-01-2017 12:00,32.8,90,30.2,3.16,4.4,108,111,7.2,0.5289
02-01-2017 13:00,33.4,91,31.2,2.67,3.57,103,108,5.7,0.5226
02-01-2017 14:00,33.8,93,32.1,2.94,4.18,108,111,5.4,0.5163
02-01-2017 15:00,34.3,94,32.8,2.57,3.7,103,109,5.4,0.51
02-01-2017 16:00,34.2,96,33.3,2.38,3.91,68,87,4.7,0.5037
02-01-2017 17:00,33.6,98,33.2,1.92,3.35,39,63,4.1,0.4974
02-01-2017 18:00,33.5,98,33.1,2.06,3.45,14,30,3.3,0.4911
02-01-2017 19:00,33.4,98,32.9,1.9,3.4,360,14,3.5,0.4848
02-01-2017 20:00,33.2,98,32.7,2.86,4.71,335,343,4.5,0.4784
02-01-2017 21:00,32.9,98,32.3,3.41,5.86,328,333,5.7,0.4721
02-01-2017 22:00,32.7,96,31.8,3.83,6.4,327,331,6.5,0.4658
02-01-2017 23:00,32.4,95,31,4.05,6.6,320,325,6.9,0.4595
03-01-2017 00:00,31.8,93,29.9,4.5,7.41,323,325,7.8,0.4532
03-01-2017 01:00,31.7,90,29.2,5.17,8.37,317,320,8.6,0.4469
03-01-2017 02:00,30.9,89,28,5.56,9.02,322,324,9.6,0.4406
03-01-2017 03:00,29.3,89,26.4,5.69,9.28,321,323,9.5,0.4343
03-01-2017 04:00,28.8,86,25,6.67,9.81,320,321,11.2,0.428
03-01-2017 05:00,27.2,81,22.1,7.32,10.71,325,325,12.3,0.4216
03-01-2017 06:00,23.6,77,17.4,8.21,12.16,313,314,14.3,0.4153
03-01-2017 07:00,21.4,70,13,7.67,11.1,320,322,14.5,0.409
03-01-2017 08:00,19.3,64,9,7.66,10.95,319,321,13.5,0.4027
03-01-2017 09:00,17.6,59,5.6,8.7,12.24,316,317,15.2,0.3964
03-01-2017 10:00,17.5,52,2.9,9.34,12.86,322,323,16.6,0.3901
03-01-2017 11:00,17.1,48,0.6,9.12,12.58,322,323,17,0.3838
03-01-2017 12:00,17.9,43,-1.1,8.84,12.06,322,323,16.6,0.3775
03-01-2017 13:00,18.6,40,-1.9,8.59,11.73,320,321,16.3,0.3712
03-01-2017 14:00,18.2,39,-2.5,8.8,11.96,324,324,16.2,0.3649
03-01-2017 15:00,18,41,-1.8,8.42,11.72,323,323,16,0.3585
03-01-2017 16:00,16.5,44,-1.4,7.73,10.79,320,320,15.3,0.3522
03-01-2017 17:00,15.1,48,-1.2,6.79,10.27,317,319,13.7,0.3459
03-01-2017 18:00,12,53,-1.8,6.61,9.78,309,311,12.7,0.3396
03-01-2017 19:00,10.4,53,-3.2,7.23,10.7,311,312,12.5,0.3333
03-01-2017 20:00,9,54,-4.1,7.25,10.79,309,310,12.8,0.327
03-01-2017 21:00,8,55,-4.8,6.64,9.82,307,308,12.7,0.3207
03-01-2017 22:00,6.9,56,-5.5,6.8,10.15,303,304,11.8,0.3144
03-01-2017 23:00,5.8,57,-6.2,6.91,10.38,301,302,12.1,0.3081
04-01-2017 00:00,4.7,58,-6.8,6.58,9.95,298,300,12,0.3018
