Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
02-01-2017 00:00,28.5,85,24.5,1.44,1.26,146,162,1.4,0.1635
02-01-2017 01:00,28.4,86,24.7,2.06,3.99,151,158,4.4,0.1424
02-01-2017 02:00,26.8,91,24.5,1.3,2.78,148,150,3.2,0.1214
02-01-2017 03:00,27.4,88,24.3,1.3,2.69,58,105,1.6,0.1003
02-01-2017 04:00,27.3,88,24.1,2.47,4.43,58,84,4,0.0793
02-01-2017 05:00,27.6,90,25.2,2.73,5.59,66,80,4.5,0.0778
02-01-2017 06:00,26.7,92,24.9,2.1,5.82,65,78,4.7,0.0959
02-01-2017 07:00,28.4,91,26.1,3.1,6.24,69,78,4.8,0.1141
02-01-2017 08:00,30.2,88,27,3.54,6.89,74,81,5.8,0.1322
02-01-2017 09:00,34,82,29.1,3.44,6.01,82,86,6.5,0.1503
02-01-2017 10:00,35.6,73,27.7,3.71,5.32,93,95,8,0.1684
02-01-2017 11:00,36.2,69,27,3.22,4.65,97,99,8.1,0.1866
02-01-2017 12:00,36.2,71,27.6,3.22,4.55,97,99,7.5,0.2066
02-01-2017 13:00,35.9,73,28.2,2.7,3.92,92,96,7.3,0.2286
02-01-2017 14:00,36.2,75,28.9,3.31,4.81,93,94,7,0.2506
02-01-2017 15:00,35.4,80,29.8,2.8,4.82,92,95,7.1,0.2726
02-01-2017 16:00,32.3,90,29.8,2.5,5.53,90,96,5.4,0.2945
02-01-2017 17:00,32.8,92,30.8,2.7,6.07,90,99,4.6,0.3165
02-01-2017 18:00,34.9,90,32.3,2.75,5.81,80,93,5.1,0.3162
02-01-2017 19:00,35.7,92,33.8,2.45,5.79,102,108,5.6,0.2936
02-01-2017 20:00,35.7,94,34.1,1.27,3.11,45,84,4.5,0.271
02-01-2017 21:00,35.5,95,34.1,2.69,5.35,105,107,4.9,0.2484
02-01-2017 22:00,35.7,95,34.3,3.51,6.91,110,112,6.6,0.2257
02-01-2017 23:00,36,95,34.8,2.94,6.15,100,112,6.8,0.2031
03-01-2017 00:00,36.1,96,35.1,2.94,5.6,72,92,5.5,0.1805
03-01-2017 01:00,36.6,97,35.8,2.82,5.77,113,118,6.1,0.1579
03-01-2017 02:00,36.6,99,36.2,1.39,3.39,111,135,5.2,0.1353
03-01-2017 03:00,36.6,99,36.4,1.61,2.42,30,83,3,0.1127
03-01-2017 04:00,36.3,100,36.2,1.17,1.63,20,43,3.1,0.0901
03-01-2017 05:00,36.5,100,36.4,1.8,2.82,56,67,2.9,0.0858
03-01-2017 06:00,35.9,100,35.8,1.68,3.86,73,80,4.3,0.0998
03-01-2017 07:00,36.3,100,36.2,1.8,3.45,56,80,3.6,0.1138
03-01-2017 08:00,36.6,100,36.5,2.51,4.62,61,72,4.5,0.1278
03-01-2017 09:00,37.4,99,37.2,2.5,4.9,53,70,4.8,0.1418
03-01-2017 10:00,37.9,99,37.6,2.02,4.2,57,65,4.3,0.1558
03-01-2017 11:00,38.5,98,38,1.53,2.65,79,79,4.2,0.1698
03-01-2017 12:00,38.8,97,38.1,1.13,1.58,45,55,3.5,0.1839
03-01-2017 13:00,39,97,38.2,1.04,1.49,17,20,2.8,0.1979
03-01-2017 14:00,38.7,99,38.4,1.41,2.2,315,321,2.7,0.2119
03-01-2017 15:00,38.4,100,38.3,1.78,3.41,322,328,3.1,0.2259
03-01-2017 16:00,38,100,37.9,2.58,4.88,306,317,4.5,0.2399
03-01-2017 17:00,37.2,99,37,3.16,5.73,305,313,5.8,0.2539
03-01-2017 18:00,36.4,99,36.2,2.13,4.53,319,329,6.2,0.2909
03-01-2017 19:00,36.2,99,36,3.31,5.52,295,302,6.1,0.3508
03-01-2017 20:00,35.7,99,35.5,3.32,5.46,291,296,6.8,0.4107
03-01-2017 21:00,35.4,100,35.3,3.57,5.7,288,292,6.9,0.4706
03-01-2017 22:00,35,99,34.8,4.85,8.14,278,281,9.2,0.5306
03-01-2017 23:00,34,97,33.2,5.87,10.41,284,286,11.7,0.5905
04-01-2017 00:00,33.7,95,32.3,4.84,8.32,288,290,12.1,0.6504
04-01-2017 01:00,32.6,95,31.2,5.95,10.11,278,279,11.7,0.7103
04-01-2017 02:00,32.3,93,30.6,5.85,9.93,278,279,12,0.7702
04-01-2017 03:00,31.9,91,29.4,7.26,11.81,277,278,14.2,0.8301
04-01-2017 04:00,28.7,88,25.5,7.41,11.93,272,274,14.9,0.89
04-01-2017 05:00,25.9,78,20,7.6,12.3,268,270,15,0.9207
04-01-2017 06:00,25.4,77,19.3,8.33,13.42,265,267,16.5,0.9221
04-01-2017 07:00,21.9,71,13.9,7.92,12.81,266,268,16.9,0.9235
04-01-2017 08:00,19.2,62,8.4,8.71,13.81,267,268,16.9,0.9248
04-01-2017 09:00,17.4,56,4.5,8.52,13.51,266,268,17.7,0.9262
04-01-2017 10:00,17.8,49,2,9.1,14.13,272,274,18.8,0.9276
04-01-2017 11:00,17.7,50,2,9.14,13.96,275,275,19.2,0.929
04-01-2017 12:00,17.7,48,1.5,9.1,13.81,271,272,18.7,0.9259
04-01-2017 13:00,17.1,47,0.2,9,13.9,270,270,18.6,0.9183
04-01-2017 14:00,16.1,46,-1.1,9,13.8,269,270,18.7,0.9107
04-01-2017 15:00,15.7,45,-2,8.8,13.7,269,270,18.2,0.9031
04-01-2017 16:00,14.8,49,-0.9,8.12,13.1,266,269,17.8,0.8955
04-01-2017 17:00,14.6,49,-1,8.2,13.42,271,273,17,0.8879
04-01-2017 18:00,14.1,52,-0.2,7.61,12.6,268,270,16.7,0.8775
04-01-2017 19:00,13.8,52,-0.6,7.5,12.4,268,270,16.9,0.8642
04-01-2017 20:00,13,55,-0.1,7.21,12.1,268,270,15.3,0.851
04-01-2017 21:00,12.6,55,-0.3,6.73,11.4,265,268,14.3,0.8378
04-01-2017 22:00,12.7,57,0.3,6.23,10.4,264,269,13.4,0.8246
04-01-2017 23:00,12.8,57,0.4,6.17,10.32,262,267,12.2,0.8114
05-01-2017 00:00,12.8,57,0.4,6.26,10.43,262,266,12.8,0.7982
05-01-2017 01:00,12.3,59,0.5,6.02,10.15,259,264,12.5,0.785
05-01-2017 02:00,11.5,59,0,5.67,9.63,261,265,12,0.7718
05-01-2017 03:00,11.3,58,-0.6,5.32,9.06,258,264,11.1,0.7586
05-01-2017 04:00,11.6,57,-0.8,5.29,8.96,255,259,10.6,0.7454
05-01-2017 05:00,11.6,57,-0.6,4.71,8.05,258,264,10.4,0.7322
05-01-2017 06:00,11.7,63,1.5,4.59,8.14,254,259,9.2,0.7191
05-01-2017 07:00,11.5,63,1.3,4.31,7.72,248,253,9.2,0.706
05-01-2017 08:00,12.1,61,1.3,3.92,7.28,251,254,8.7,0.693
05-01-2017 09:00,12.8,54,-0.6,5.46,8.67,262,263,11.3,0.6799
05-01-2017 10:00,13.3,53,-0.7,5.77,8.88,261,262,12.1,0.6668
05-01-2017 11:00,13.4,51,-1.3,5.61,8.63,259,260,12.2,0.6537
05-01-2017 12:00,13.4,50,-1.6,5.87,8.9,261,262,12.4,0.6569
05-01-2017 13:00,13,50,-2.1,5.85,9.07,262,263,12.4,0.6762
05-01-2017 14:00,13.1,48,-3,5.63,8.74,264,265,12.4,0.6956
05-01-2017 15:00,12.3,49,-3.5,5.45,8.76,263,263,11.8,0.715
05-01-2017 16:00,11.4,52,-2.7,4.41,7.71,257,260,11.2,0.7344
05-01-2017 17:00,10.3,55,-2.6,3.86,7.32,249,256,9,0.7537
05-01-2017 18:00,7.8,63,-2.1,4.43,8.13,242,249,7.9,0.7421
05-01-2017 19:00,6.4,65,-3,4.25,8.38,243,250,8.6,0.6993
05-01-2017 20:00,5.6,65,-3.5,4.16,8.13,246,254,8.3,0.6566
05-01-2017 21:00,4.7,67,-3.9,4.02,8.22,243,252,8.2,0.6139
05-01-2017 22:00,4,68,-4.2,3.61,7.67,251,258,7.9,0.5712
05-01-2017 23:00,2.7,71,-4.6,3.09,7.32,245,256,7.1,0.5284
06-01-2017 00:00,1.8,71,-5.3,3.13,7.62,243,253,6,0.4857
06-01-2017 01:00,1.3,72,-5.7,3.1,7.69,249,257,6.1,0.443
06-01-2017 02:00,0.7,71,-6.4,2.92,7.57,248,258,5.9,0.4003
06-01-2017 03:00,0.6,71,-6.6,3.01,7.71,249,257,5.7,0.3575
06-01-2017 04:00,0.4,71,-6.7,3.05,7.69,247,257,5.8,0.3148
06-01-2017 05:00,0,72,-7,2.91,7.57,243,255,5.7,0.2969
06-01-2017 06:00,0.9,73,-5.7,3.38,7.58,236,247,5.7,0.3038
06-01-2017 07:00,0.2,76,-5.7,3.22,7.78,244,252,6,0.3107
06-01-2017 08:00,1.6,76,-4.2,3.26,7.41,252,260,6.1,0.3177
06-01-2017 09:00,5.9,67,-2.6,3.58,6.39,247,253,7.3,0.3246
06-01-2017 10:00,8.9,59,-2.3,4.61,6.87,257,257,9.4,0.3315
06-01-2017 11:00,10.5,53,-3.3,4.34,6.36,262,262,9.8,0.3384
